date,Magnitude
2016-07-06,274.43055555555554
2016-07-07,313.22685185185185
2016-07-08,313.4328703703704
2016-07-09,213.11342592592592
2016-07-10,306.91203703703707
2016-07-11,303.32175925925924
2016-07-12,314.08101851851853
2016-07-13,215.18287037037035
2016-07-14,292.49768518518516
2016-07-15,311.6111111111111
2016-07-16,290.99074074074076
2016-07-17,314.33796296296293
2016-07-18,291.2453703703703
2016-07-19,290.837962962963
2016-07-20,262.77546296296293
2016-07-21,301.550925925926
2016-07-22,301.550925925926
2016-07-23,301.550925925926
2016-07-24,317.52314814814815
2016-07-25,313.63194444444446
2016-07-26,270.03009259259255
2016-07-27,314.6782407407407
2016-07-28,313.93518518518516
2016-07-29,314.00694444444446
2016-07-30,280.6296296296296
2016-07-31,126.33333333333333
2016-08-01,284.79629629629636
