processed_at,date,coverage_percent,CHL_NN_R1_empty,CHL_NN_R2_empty,CHL_NN_R3_empty
2025-11-04T19:09:36Z,2017-06-18,75.0,False,False,False
2025-11-04T19:09:36Z,2017-06-21,89.47368421052632,False,False,False
2025-11-04T19:09:36Z,2017-06-22,48.38709677419355,False,False,False
2025-11-04T19:09:36Z,2017-06-25,50.847457627118644,True,False,False
2025-11-04T19:09:36Z,2017-06-29,88.67924528301887,False,False,False
2025-11-04T19:09:36Z,2017-07-03,8.0,True,False,True
2025-11-04T19:09:36Z,2017-07-06,87.23404255319149,False,False,False
2025-11-04T19:09:36Z,2017-07-07,82.97872340425532,False,False,False
2025-11-04T19:09:36Z,2017-07-10,75.47169811320755,False,False,False
2025-11-04T19:09:36Z,2017-07-11,79.06976744186046,False,False,False
2025-11-04T19:09:36Z,2017-07-14,84.7457627118644,False,False,False
2025-11-04T19:09:36Z,2017-07-18,23.728813559322035,False,False,False
2025-11-04T19:09:36Z,2017-07-22,75.86206896551724,False,False,False
2025-11-04T19:09:36Z,2017-07-23,37.93103448275862,True,False,False
2025-11-04T19:09:36Z,2017-07-26,79.24528301886792,False,False,False
2025-11-04T19:09:36Z,2017-07-27,80.0,False,False,False
2025-11-04T19:09:37Z,2017-07-30,86.79245283018868,False,False,False
2025-11-04T19:09:37Z,2017-08-03,43.47826086956522,False,False,False
2025-11-04T19:09:37Z,2017-08-06,18.181818181818183,True,True,False
2025-11-04T19:09:37Z,2017-08-07,92.5,False,False,False
2025-11-04T19:09:37Z,2017-08-10,80.35714285714286,False,False,False
2025-11-04T19:09:37Z,2017-08-11,50.0,False,False,False
2025-11-04T19:09:37Z,2017-08-14,89.47368421052632,False,False,False
2025-11-04T19:09:37Z,2017-08-15,78.125,False,False,False
2025-11-04T19:09:37Z,2017-08-18,56.89655172413793,False,False,False
2025-11-04T19:09:37Z,2017-08-19,3.7037037037037037,False,True,True
2025-11-04T19:09:37Z,2017-08-22,49.12280701754386,True,False,False
2025-11-04T19:09:37Z,2017-08-23,36.0,False,False,False
2025-11-04T19:09:37Z,2017-08-26,50.98039215686274,False,False,False
2025-11-04T19:09:37Z,2017-08-29,33.333333333333336,True,False,False
2025-11-04T19:09:37Z,2017-08-30,86.95652173913044,False,False,False
2025-11-04T19:09:37Z,2017-09-02,36.0,False,True,False
2025-11-04T19:09:37Z,2017-09-03,90.47619047619048,False,False,False
2025-11-04T19:09:37Z,2017-09-11,68.75,False,False,False
2025-11-04T19:09:37Z,2017-09-18,79.66101694915254,False,False,False
2025-11-04T19:09:37Z,2017-09-26,45.65217391304348,True,False,False
2025-11-04T19:09:37Z,2017-09-29,78.43137254901961,False,False,False
2025-11-04T19:09:37Z,2017-10-03,89.28571428571429,False,False,False
2025-11-04T19:09:37Z,2017-10-04,44.73684210526316,False,False,False
2025-11-04T19:09:37Z,2017-10-08,78.125,True,False,False
2025-11-04T19:09:37Z,2017-10-11,71.9298245614035,True,False,False
2025-11-04T19:09:37Z,2017-10-12,76.66666666666667,False,False,False
2025-11-04T19:09:37Z,2017-10-19,79.24528301886792,False,False,False
2025-11-04T19:09:37Z,2017-10-22,89.36170212765957,False,False,False
2025-11-04T19:09:37Z,2017-10-23,71.73913043478261,False,False,False
2025-11-04T19:09:37Z,2017-10-26,82.14285714285714,False,False,False
2025-11-04T19:09:37Z,2017-10-30,94.54545454545455,False,False,False
2025-11-04T19:09:37Z,2017-10-31,70.27027027027027,False,False,False
2025-11-04T19:09:37Z,2017-11-03,76.78571428571429,False,False,False
2025-11-04T19:09:37Z,2017-11-04,86.66666666666667,False,False,False
2025-11-04T19:09:37Z,2017-11-15,52.83018867924528,False,False,False
2025-11-04T19:09:37Z,2017-11-22,50.0,False,False,False
2025-11-04T19:09:37Z,2017-11-23,90.69767441860465,False,False,False
2025-11-04T19:09:37Z,2017-11-26,91.2280701754386,False,False,False
2025-11-04T19:09:37Z,2017-11-27,42.10526315789474,False,True,False
2025-11-04T19:09:37Z,2017-11-30,86.66666666666667,False,False,False
2025-11-04T19:09:37Z,2017-12-01,96.875,False,False,False
2025-11-04T19:09:37Z,2017-12-04,90.0,False,False,False
2025-11-04T19:09:37Z,2017-12-05,80.0,False,False,False
2025-11-04T19:09:37Z,2017-12-08,27.272727272727273,False,False,False
